"goal","dimension","region_id","score"
"AO","future",0,62.77
"AO","future",1,62.77
"AO","future",2,62.77
"AO","future",3,62.77
"AO","pressures",1,29.88
"AO","pressures",2,29.88
"AO","pressures",3,29.88
"AO","resilience",1,61.85
"AO","resilience",2,61.85
"AO","resilience",3,61.85
"AO","score",0,59.68
"AO","score",1,59.68
"AO","score",2,59.68
"AO","score",3,59.68
"AO","status",0,56.6
"AO","status",1,56.6
"AO","status",2,56.6
"AO","status",3,56.6
"AO","trend",1,0.01
"AO","trend",2,0.01
"AO","trend",3,0.01
"BD","future",0,79.37
"BD","future",1,79.37
"BD","future",2,79.37
"BD","future",3,79.37
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","score",0,80.15
"BD","score",1,80.15
"BD","score",2,80.15
"BD","score",3,80.15
"BD","status",0,80.92
"BD","status",1,80.92
"BD","status",2,80.92
"BD","status",3,80.92
"BD","trend",1,-0.16
"BD","trend",2,-0.16
"BD","trend",3,-0.16
"CP","future",0,82.3
"CP","future",1,82.3
"CP","future",2,82.3
"CP","future",3,82.3
"CP","pressures",1,35.98
"CP","pressures",2,35.98
"CP","pressures",3,35.98
"CP","resilience",1,60.03
"CP","resilience",2,60.03
"CP","resilience",3,60.03
"CP","score",0,80.26
"CP","score",1,80.26
"CP","score",2,80.26
"CP","score",3,80.26
"CP","status",0,78.22
"CP","status",1,78.22
"CP","status",2,78.22
"CP","status",3,78.22
"CP","trend",1,-0.04
"CP","trend",2,-0.04
"CP","trend",3,-0.04
"CS","future",0,71.81
"CS","future",1,71.81
"CS","future",2,71.81
"CS","future",3,71.81
"CS","pressures",1,33.68
"CS","pressures",2,33.68
"CS","pressures",3,33.68
"CS","resilience",1,56.8
"CS","resilience",2,56.8
"CS","resilience",3,56.8
"CS","score",0,71.1
"CS","score",1,71.1
"CS","score",2,71.1
"CS","score",3,71.1
"CS","status",0,70.4
"CS","status",1,70.4
"CS","status",2,70.4
"CS","status",3,70.4
"CS","trend",1,-0.08
"CS","trend",2,-0.08
"CS","trend",3,-0.08
"CW","future",0,59.51
"CW","future",1,59.51
"CW","future",2,59.51
"CW","future",3,59.51
"CW","pressures",1,78.07
"CW","pressures",2,78.07
"CW","pressures",3,78.07
"CW","resilience",1,71.93
"CW","resilience",2,71.93
"CW","resilience",3,71.93
"CW","score",0,61.52
"CW","score",1,61.52
"CW","score",2,61.52
"CW","score",3,61.52
"CW","status",0,63.53
"CW","status",1,63.53
"CW","status",2,63.53
"CW","status",3,63.53
"CW","trend",1,-0.06
"CW","trend",2,-0.06
"CW","trend",3,-0.06
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",3,100
"ECO","pressures",1,39.3
"ECO","pressures",2,39.3
"ECO","pressures",3,39.3
"ECO","resilience",1,52.16
"ECO","resilience",2,52.16
"ECO","resilience",3,52.16
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",3,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",3,1
"FIS","future",0,
"FIS","future",1,
"FIS","future",2,
"FIS","future",3,
"FIS","pressures",1,31.68
"FIS","pressures",2,31.68
"FIS","pressures",3,31.68
"FIS","resilience",1,58.56
"FIS","resilience",2,58.56
"FIS","resilience",3,58.56
"FIS","score",0,
"FIS","score",1,
"FIS","score",2,
"FIS","score",3,
"FIS","status",0,
"FIS","status",1,
"FIS","status",2,
"FIS","status",3,
"FIS","trend",1,
"FIS","trend",2,
"FIS","trend",3,
"FP","future",0,13.85
"FP","future",1,6.82
"FP","future",2,23.99
"FP","future",3,7.62
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","score",0,15.61
"FP","score",1,6.82
"FP","score",2,28.39
"FP","score",3,7.64
"FP","status",0,17.38
"FP","status",1,6.82
"FP","status",2,32.79
"FP","status",3,7.67
"FP","trend",1,-0.1
"FP","trend",2,-0.5
